tokens,objects,attributes,relations,relations_per_object,attributes_per_object,noun_chunks,noun_chunks_per_prompt,adjectives_per_noun_chunk,prep_phrases,conjunctions,dependency_depth,atoms_per_20_tokens,objects_per_20_tokens,attributes_per_20_tokens,relations_per_20_tokens,dataset,prompt_index,prompt
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,0,A cat is situated beneath a microwave.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,1,A cup is positioned to the left of a pig.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,2,A cat is positioned to the right of a table.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,3,A bag is positioned to the left of a bee.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,6,12.0,6.0,0.0,6.0,TIIF-Bench,4,A vase is positioned to the left of a sheep.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,6,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,5,A woman standing close to a microwave.
10,3,0,3,1.0,0.0,3,3,0.0,2,0,7,12.0,6.0,0.0,6.0,TIIF-Bench,6,A couch is positioned to the right of a fish.
6,2,0,1,0.5,0.0,2,2,0.0,1,0,4,10.0,6.666666666666666,0.0,3.333333333333333,TIIF-Bench,7,A dog is beside a computer.
11,3,1,3,1.0,0.3333333333333333,3,3,0.3333333333333333,2,0,6,12.727272727272727,5.454545454545454,1.8181818181818183,5.454545454545454,TIIF-Bench,8,A frog is positioned on the left side of the table.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,9,There is a plate beneath the man.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,5,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,10,A frog sits close to the refrigerator.
8,2,0,2,1.0,0.0,2,2,0.0,1,0,5,10.0,5.0,0.0,5.0,TIIF-Bench,11,A cat is sitting next to a phone.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,12,A bird is positioned near the desk.
9,3,0,3,1.0,0.0,3,3,0.0,2,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,13,A turtle with a vase resting on its shell.
7,2,0,2,1.0,0.0,2,2,0.0,1,0,4,11.428571428571427,5.7142857142857135,0.0,5.7142857142857135,TIIF-Bench,14,A balloon is positioned above a bird.
6,2,0,2,1.0,0.0,2,2,0.0,1,0,5,13.333333333333332,6.666666666666666,0.0,6.666666666666666,TIIF-Bench,15,A horse positioned beneath an airplane.
